layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,process,side,subjid
-9.69746519521412,-9.4589638082577,-8.63987824513096,-8.05654286773069,-7.89209769131217,-8.2979652319416,-8.7634771033431,-9.75536835613787,-11.1962453442661,-12.8072981918335,-13.9345260442729,-14.2479155255525,-13.6270220909337,-12.7210891457207,-12.3546532105456,-13.0126749867653,-14.66195903742,-16.6643163489802,-18.1769845196281,-18.5353603386581,HCHP,left,7349
-6.68918567255183,-8.19223355194383,-9.74488406031762,-11.2156083552373,-12.628505245463,-14.1671469471565,-15.7577770527332,-17.3019242829584,-18.6788974531431,-20.1922764851375,-21.7373831409032,-23.3785943317712,-25.0403729249336,-26.4588401394522,-27.5384591108746,-28.5404604342688,-29.5590269005558,-30.3708251153998,-31.0181064097275,-31.8686885473701,HCHP,left,7356
-5.48614283984999,-7.02985891629069,-8.14534248636484,-8.58961452030733,-8.65947091688487,-8.63943983430792,-8.65234015495944,-8.97019515733778,-9.51712627623757,-10.1178448229902,-10.9415588636033,-12.1835669780663,-13.970309778346,-15.9669193549097,-18.0023459650719,-19.8387390486942,-21.1493362253984,-21.6230597953433,-21.2694637285029,-20.2290212905383,HCHP,left,7361
-6.50976372644472,-6.90537583349986,-7.29946841860267,-7.82898764553214,-8.62234906807134,-9.5407974991072,-10.5462463975527,-11.3581219997527,-12.0397317313809,-12.7076657804432,-13.6073364007179,-14.7558926120402,-16.2835638141885,-18.2969745599686,-20.5029335453063,-22.5338484601994,-24.0629361768338,-24.9849763165241,-24.9553206464709,-24.4435994047159,HCHP,left,7375
-3.2392831613094,-4.56966898110143,-5.83662544767417,-7.17476821612907,-8.59739677111536,-9.94201678820787,-10.9650221001444,-11.7537061951435,-12.1912129483496,-12.2087855356019,-12.082640214759,-11.8442544790943,-11.5747566607189,-11.3892647494804,-11.439452600764,-11.765833054849,-12.2822940875052,-12.8207712454378,-13.1454468466108,-13.2618201771265,HCHP,left,7376
-7.36309874790555,-7.89247875654317,-8.0076666105335,-7.66037082028683,-7.31634175483344,-7.22558073498574,-7.46378563925126,-7.90786188071765,-8.66574734557124,-9.57488213391703,-10.3356580077197,-11.0277566321944,-11.4173655690356,-11.5298442029065,-11.0374467550321,-9.91567183551309,-8.0279406271143,-5.47932251865762,-2.14148619168799,1.64200732359598,HCHP,left,7383
-3.506902623126,-4.32978889562906,-5.29579709320979,-6.25267288674528,-7.13944651138689,-7.93284398569374,-8.54490453859668,-9.03067644334866,-9.4900878522359,-9.93810366121426,-10.4905856063308,-11.1087819921606,-11.7376107435039,-12.5345409807533,-13.3466301763421,-14.217254311891,-15.0612095060183,-15.5861533315954,-15.6150297502715,-15.1556608472379,HCHP,left,7402
-9.56798138585822,-9.2584944127401,-9.07498972039082,-9.04528521849268,-9.31446025273096,-9.83954310903971,-10.425775836021,-11.0492453085199,-11.8081774518587,-12.768558004165,-14.122812024654,-16.083908755383,-18.651414056916,-21.8154052352474,-25.7110409393662,-30.4540636692305,-35.1601078568347,-39.2361232064769,-42.1776032433071,-43.6000781933934,HCHP,left,7403
-2.63842906943885,-1.98824935741774,-1.28915067708618,-0.855253334019329,-0.735145432321355,-0.829994744985322,-1.18323242092375,-1.79884556121757,-2.79070470827493,-4.06082482855888,-5.4989121109882,-6.83070573764749,-7.63781519264387,-7.76266276228208,-7.23451574593389,-6.22709591170003,-4.96665992896501,-3.83774088706567,-3.07119379339401,-2.88982884902811,HCHP,left,7404
-8.16202023334038,-6.87011410351093,-5.28415539169844,-4.12523004474529,-4.0382849765564,-4.90170224293121,-6.36844781589032,-8.00382740865338,-9.23910821781126,-9.90405634239942,-9.98295351310631,-10.2295733098226,-11.2351177620258,-12.9623792332226,-14.9087867012824,-17.1249542063234,-19.0118700224788,-20.9073493458365,-22.4071382974611,-23.2942312940565,HCHP,left,7405
