layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,process,side,subjid
-8.85520636478058,-8.61601462256062,-7.54034725979468,-6.06719857824029,-4.54840011332057,-3.35817702436126,-2.21138337040976,-1.02103452390053,0.231335795872117,1.42418825664612,2.50164579538194,3.56438082623484,4.29121297297702,4.84179260323425,5.133941684239,5.44376178787965,5.82898308954218,6.38731421779594,6.59973585087494,6.4092999673906,HCHP,left,7349
-0.241601966491186,-2.25189355867753,-4.96952490272859,-7.33880252140718,-9.04351019402139,-10.3495697772405,-11.7127616492794,-12.9533460162655,-13.8983987933783,-14.493697453008,-14.7458598784343,-14.9773330409495,-15.5580606048388,-16.6012401830126,-18.1023667608294,-20.0650952348207,-22.1215032693705,-24.4614545564528,-26.4814435596056,-28.0717737643307,HCHP,left,7356
-2.7263019360128,-3.42959602565762,-3.581643085861,-3.13589263387711,-2.22904366250814,-1.52157702060522,-1.28489152944834,-1.35107836453667,-1.65754884700324,-2.21828299539472,-3.04834273000317,-4.14637203515966,-5.508062447193,-7.00405094307671,-8.48531804969119,-9.45060778715256,-9.90137814989689,-9.65860260893999,-8.64793249134476,-7.21189861576231,HCHP,left,7361
-2.24442612788089,-2.14787606731007,-1.92716315954012,-1.56993086708186,-1.1432971261269,-0.741053035738023,-0.482315951609262,-0.442455813260051,-0.452597728178372,-0.156458723706113,0.47960453026434,1.5397988491955,2.60274669414468,3.78310362780373,5.0217553609778,6.0869795941511,6.78640428755938,6.88162254027678,6.32739211574185,5.13420919585291,HCHP,left,7375
-3.98862675758087,-3.95371923182219,-3.80088517353051,-3.75837560732438,-4.06702657003063,-4.82829858434363,-5.87961246471338,-7.28142583804406,-9.01355446348674,-10.997735857466,-12.8840205058854,-14.6057471266234,-15.8749065258356,-16.8152515901587,-17.2902611442269,-17.8468767805837,-18.3603379396456,-18.6455746499289,-18.5711771391214,-17.9792213887555,HCHP,left,7376
-8.32061272702684,-8.08376415258678,-7.89995210647686,-7.93986793899096,-7.93816879214499,-7.64292570264256,-7.17090980756028,-6.84103065006393,-6.85305835086454,-7.14166437286058,-8.01262915191654,-9.2958866057259,-10.2178253799571,-10.6692948598374,-10.9164884637337,-11.6747468965227,-12.9120918309114,-14.5707687277936,-16.9080207076604,-19.4145814906518,HCHP,left,7383
-1.77004794805223,-2.27819419856306,-2.91934576890671,-3.60150477317055,-4.20099313847048,-4.69667291283903,-5.00167725549739,-5.17400583466282,-5.22918869173331,-5.33702863546018,-5.73758370876113,-6.54453891593277,-7.73871694915346,-9.01227416710205,-10.0479660054378,-10.8028670090391,-11.0972176462291,-10.9867713766219,-10.6004380871307,-10.2088582220595,HCHP,left,7402
-6.67117293145501,-6.44967456340894,-5.50873989918837,-4.07254840672062,-2.84199428318956,-1.84639153146503,-1.21485943198311,-1.26168462968787,-1.72135428732471,-2.44575137598893,-3.71056485933616,-5.47803687268997,-7.75659062965061,-10.1442103156141,-12.2032120521353,-13.5585124679094,-14.3780408077528,-14.6282460824997,-14.3998339121961,-13.5288781752892,HCHP,left,7403
-1.95020384108697,-2.30712404635783,-2.92906343429371,-3.95980761351229,-5.52304315024225,-7.30438903723976,-9.16866090652049,-10.8593760497742,-12.2499083008457,-13.1852238106672,-13.3601055453752,-13.0731543030722,-12.6525383593455,-12.2711295065565,-12.0973498803541,-12.2966844134284,-13.0402528191211,-14.1800018896373,-15.2313495628971,-15.8930562439426,HCHP,left,7404
-5.91240220610508,-5.0764413297435,-4.11237365779823,-3.35113867311214,-3.08922131713547,-3.69777569693208,-5.44308955993754,-8.1359311671618,-11.3501323590411,-14.4770203737693,-17.2636359842311,-19.6824983575569,-21.6412925544468,-23.2404229118327,-24.5869901155663,-26.0907930947244,-27.5101345717336,-28.8839651299589,-30.2854867135255,-31.4688877648851,HCHP,left,7405
