layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,process,side,subjid
-11.5834916241959,-10.3320012078219,-9.24345300671104,-8.66267348055255,-8.70911595049838,-8.96614958309155,-9.19540838245206,-10.5477347934931,-12.3847307712371,-14.4938939014425,-16.2976913269692,-17.1857998184077,-17.3375046427261,-17.1645165365665,-17.1817432349188,-17.4407949404297,-17.9793625965307,-18.0421995329474,-18.4790377061654,-18.5140580665146,HCHP,left,7349
-12.8718718713706,-15.3001537688818,-17.3494386118215,-19.4302547632143,-21.4084341504647,-23.9026387143264,-26.5016772710107,-28.505292087412,-30.2321050988201,-31.6069774535302,-32.0884767256972,-31.8859474791799,-30.5587576325757,-28.2807070093389,-26.2348439664375,-25.4490960376048,-26.5021355997813,-28.2324170141448,-29.4582140239532,-30.7140146454329,HCHP,left,7356
-10.5990917533856,-11.9605223184786,-12.6350669695266,-13.0229976313685,-13.44077966419,-14.226705175443,-15.3241374731991,-16.8011866104392,-18.2271633939859,-19.2850835310383,-20.5449386557121,-21.939431847387,-23.3429299907787,-24.460566060596,-25.0836441079542,-25.4579402888684,-25.3602150447538,-24.9291011813696,-24.2041463790865,-23.4031323673887,HCHP,left,7361
-12.0786436064138,-13.961687488568,-15.500402548305,-16.7711373236863,-17.8008319114444,-18.4948817966837,-19.2163873706789,-19.8868965723342,-20.8229275081707,-22.3434133583584,-24.6004546382137,-27.6409312060098,-31.4666441665212,-36.1695579586664,-41.4324197079399,-46.595829042799,-51.1416773361971,-54.2064092657617,-55.2601524340085,-54.3412751946616,HCHP,left,7375
-3.78048002897702,-3.32783491050673,-3.03010594295078,-3.3039903520553,-4.53438832611891,-6.07502449621654,-7.85184348301966,-9.74247031632531,-11.6853547584942,-13.0850294727658,-14.1511796058292,-14.3024520182914,-13.7917712186493,-12.8745126636988,-12.1160794054129,-11.8056123377777,-11.583709705827,-11.6132492590212,-11.8691227742593,-12.0829796015035,HCHP,left,7376
-14.1135897562719,-15.011288381197,-15.1159407965758,-14.494887742202,-13.608019001848,-13.0545357663482,-13.2215131994965,-14.1285043944088,-15.8454591352354,-17.8473344499376,-19.5283212439958,-21.258337534772,-22.6712500966138,-24.4566688461074,-26.7543681194265,-28.7227236182006,-29.8796061647081,-29.3998190566928,-25.8256200213887,-19.4837871413231,HCHP,left,7383
-3.94262489970797,-5.13571609458353,-6.79468909568367,-8.93404967126974,-11.1070742746892,-13.0640205378215,-14.2244949761816,-14.5212111775205,-14.2050460928092,-13.486558979846,-12.9600035667011,-13.2663567682631,-14.3300641054073,-15.9940876050133,-18.3630766060574,-20.8913609903154,-23.0773423649163,-24.384503182719,-24.1083642340284,-22.0867865375256,HCHP,left,7402
-11.3402908420118,-10.8711768906672,-10.4036344946507,-10.1585897413934,-10.164621022361,-10.6978354599505,-11.7011731833028,-12.9000929425073,-14.0491398762168,-15.220564535866,-16.5641418968096,-18.4137275676889,-21.0341797099103,-24.3627242787784,-28.3001881524736,-33.1964858188212,-38.0369832017149,-42.3255730001282,-45.616300530474,-47.3587444646125,HCHP,left,7403
-2.13028389653993,-2.14033739721246,-2.01209548784351,-1.88154340703991,-2.17698563199378,-2.79461054014285,-3.60926472616551,-4.71844860329539,-5.82761480347112,-7.1671867786377,-8.57170986795549,-9.73126026830523,-10.206337268101,-10.1746822643391,-10.1357372050731,-10.0078195161047,-9.71517152148956,-9.10862796088449,-8.56002953118036,-8.21579900331089,HCHP,left,7404
-7.86926164070263,-5.04805350205314,-1.8218110733692,0.580022718887192,1.30467483019255,0.393601794812251,-1.81328100529452,-4.55205366942929,-6.59049383677332,-7.67732381398778,-7.88761827282268,-8.02928476785809,-9.05932193534312,-10.7962411820401,-12.4906615996303,-14.4062667947144,-15.8510650102659,-17.6099571614938,-19.3788097483654,-21.4521980450447,HCHP,left,7405
-7.19538386984909,-8.1577315322989,-8.6421931050315,-8.48329652171668,-7.915588912799,-7.57184254289179,-7.38023949468443,-7.69788900190894,-8.4864900430298,-9.65529391175031,-10.9789908629817,-12.2556615606437,-13.6258032167696,-14.4647192756191,-14.8340171574456,-14.8150915546535,-13.7532656448178,-11.9296967038571,-9.16179781924423,-7.08311609902326,HCHP,left,7408
-10.3955422155286,-9.73896366122568,-9.23958693482434,-9.08047209104323,-9.06228217867997,-9.31382249222069,-9.81250654468346,-10.1759387577583,-10.627066400814,-11.0975445849486,-11.5542727352018,-12.0105938989746,-12.5540097126092,-12.9010120368742,-13.1747833494655,-13.6134123666552,-14.7388409769234,-16.2142800785583,-18.1267929494,-20.0620493892612,HCHP,left,7414
3.15693321082528,0.832044953835855,-1.97998756590335,-4.35883495918257,-5.57327742972988,-5.97460677782215,-6.14766000935366,-6.29676022826316,-7.0390563765191,-8.62414869845599,-10.4857920174006,-12.8447526699616,-14.9869483298589,-16.3144824352025,-16.2389612380719,-14.4869409461833,-11.357298583508,-8.17645814741099,-5.04088269723709,-1.24101210370079,HCHP,left,7415
1.53166668210666,2.35992668057937,2.96833316620294,3.51971383613759,3.81104462775661,3.21495002858595,1.44907690672812,-1.20718792431088,-4.78562799904344,-8.59924632852542,-12.1297129372089,-14.7718288427872,-16.7059325719076,-18.1263370664222,-19.0101128885283,-20.5004362096436,-22.3025606697525,-23.8771128495873,-24.9593524736145,-24.693984030783,HCHP,left,7425
-2.68489667316828,-1.8546708650983,-0.975205709230664,-0.354699516364642,-0.172436355314305,-0.772018734211962,-1.9504584095197,-3.6775941909679,-5.70019774043953,-7.91147273162764,-9.66714823459096,-10.8506988737919,-10.8788047298732,-9.47866277419792,-6.50235988859241,-2.95104075543693,0.328559181326081,2.7809724060499,3.96140536752645,4.13598768572454,HCHP,left,7426
